firmware_protocol	representative_pid	device	version	file	bytes	sha256	archive_check	manifest_target	payload_types	result
4	0b0e:0300	Jabra Evolve 20	4.3.1	Jabra_EVOLVE_20_30_4.3.1.zip	123684	641d4f895d7ef15ba013258cfa5253885603ca0bb11f27807a8b54870e5812e8	zip_ok	0x0304	hex	ok
4	0b0e:0305	Jabra Evolve 40/80	4.1.0	Jabra_EVOLVE_LINK_4.1.0.zip	124606	5722982af4c8fb48d33e50a82c0b95df34d5cd37076e77fbb9c571aa37d9bdfa	zip_ok	0x0309	hex	ok
1	0b0e:030b	Jabra Evolve 65 Stereo	2.97.0	Jabra_Evolve_65-v2.97.0-duo-vector.zip	1425431	2fbf6e020b3de7ef26935b5cd2de9df20cb5ef3f596eee9debb4548261d6407a	zip_ok	0x094E	dfu	ok
1	0b0e:030d	Jabra Evolve 65 Mono	2.97.0	Jabra_Evolve_65-v2.97.0-mono-vector.zip	1424759	e5c77e5f682dd70552fb07dad1a129de6339b4bfe97968f7b5cc42ec601cbde9	zip_ok	0x0954	dfu	ok
4	0b0e:0312	Jabra Evolve 30 II	3.4.4	Jabra_EVOLVE_30_II_3.4.4.zip	122551	3bb3e75391edf251bd4ddd4a4ec91cd29463583618f006f60b7aee274cd0692b	zip_ok	0x0316	hex	ok
5	0b0e:0342	Jabra UC VOICE 150a MS Duo	1.26.0	Jabra_UC_VOICE_150a_MS_1_26_0.zip	9301	8449b0e31510871e3ba5a5173961fecc5ded286cf8bb5eace48aa6ada77ca52f	zip_ok	0x0342	ptc	ok
5	0b0e:0343	Jabra UC VOICE 150a Duo	1.26.0	Jabra_UC_VOICE_150a_1_26_0.zip	9259	2a77c35a1a55a43e5e9967940138ab4a2e5341c8c8ecbeecfd831f5ec315ef1f	zip_ok	0x0343	ptc	ok
5	0b0e:0344	Jabra UC VOICE 150a MS Mono	1.26.0	Jabra_UC_VOICE_150a_MS_mono_1_26_0.zip	9477	41a598dddec3f76fb58d098f45c193425d2caa1871f078e7e0a1473931d20301	zip_ok	0x0344	ptc	ok
5	0b0e:0345	Jabra UC VOICE 150a Mono	1.26.0	Jabra_UC_VOICE_150a_mono_1_26_0.zip	9445	56390119e234406cb143e9c0530b4b91134ccff7df74041ac862bd6a99b41be9	zip_ok	0x0345	ptc	ok
5	0b0e:0346	Jabra UC VOICE 250a MS	1.27.0	Jabra_UC_VOICE_250a_MS_1_27_0.zip	9467	ea0543bfeeccda2291d17682ae50eda8cf0f5c3ba855abca89509e529047fb0e	zip_ok	0x0346	ptc	ok
5	0b0e:0347	Jabra UC VOICE 250a	1.27.0	Jabra_UC_VOICE_250a_1_27_0.zip	9424	ef364e727eff09f9ae10fac2d981ecefd9fa6435fe62dd20ea8495c8031272ae	zip_ok	0x0347	ptc	ok
5	0b0e:0348	Jabra UC VOICE 550a MS Duo	1.26.0	Jabra_UC_VOICE_550a_MS_1_26_0.zip	9328	2c8e8747f8c283070a5fd920878c73092a60c38164d018582c52cd21fa12b0e9	zip_ok	0x0348	ptc	ok
5	0b0e:0349	Jabra UC VOICE 550a Duo	1.26.0	Jabra_UC_VOICE_550a_1_26_0.zip	9280	50344dbc18dd039e471d8d0d2a90afd64539357b1c642be4ac06715e2621f2c2	zip_ok	0x0349	ptc	ok
5	0b0e:034a	Jabra UC VOICE 550a MS Mono	1.26.0	Jabra_UC_VOICE_550a_MS_mono_1_26_0.zip	9506	566c6c087822e01a9f50c0bc2c6c1176a1046e804b03202a10d30da836931e9a	zip_ok	0x034A	ptc	ok
5	0b0e:034b	Jabra UC VOICE 550a Mono	1.26.0	Jabra_UC_VOICE_550a_mono_1_26_0.zip	9477	16435b9d81ee7756f9d003593032d9d64e268bb49f261ba613707c4b993cdfc2	zip_ok	0x034B	ptc	ok
5	0b0e:034c	Jabra UC VOICE 750a MS Duo	1.26.0	Jabra_UC_VOICE_750a_MS_1_26_0.zip	9367	732f7e0998969cb97eaa0cafa092d47b8e9ba3959eecbc6cbf68ee69432b6135	zip_ok	0x034C	ptc	ok
5	0b0e:034d	Jabra UC VOICE 750a Duo	1.26.0	Jabra_UC_VOICE_750a_1_26_0.zip	9310	479eb35704bb2f500428159600bc24426a8176b96d965e3c004b78ed67b2fca4	zip_ok	0x034D	ptc	ok
5	0b0e:034e	Jabra UC VOICE 750a MS Mono	1.26.0	Jabra_UC_VOICE_750a_MS_mono_1_26_0.zip	9534	fc1bf4b987c444d7fdb3435f6e22a53557a7c38ff9708a1d7368bd50cc31c63f	zip_ok	0x034E	ptc	ok
5	0b0e:034f	Jabra UC VOICE 750a Mono	1.26.0	Jabra_UC_VOICE_750a_mono_1_26_0.zip	9499	9ba1ca73b0771ce2f3e7bb19b362a7aa6b0c2fc828035622d8f6e66b40a27993	zip_ok	0x034F	ptc	ok
1	0b0e:0410	Jabra Speak 410	1.12.0	Jabra_SPEAK_410_USB-1-12-0.dfu	879660	cd9ee8a400bce8ad55f325bc7f1c2a6c830ca394694bad093926cc9ce7bfd682	not_zip			ok
1	0b0e:0420	Jabra Speak 510	2.32.8	Jabra_SPEAK_510_USB-v2.32.8-vector.zip	1019643	1fdaed55bb374bde5808468840d3fc11a6be64757c06faff6d2ccf04e2af0721	zip_ok	0x0421	dfu	ok
